checkpoint,opponent_type,mean_reward,std_reward,win_rate,std_win_rate,mean_length,std_length
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep10000.pth,weak,5.7637878168184615,5.8405648475083725,0.724,0.44701677820860364,145.947,80.29267831502446
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep10000.pth,strong,-0.7300662688184228,9.71101799115727,0.475,0.4993746088859544,125.754,82.24290537183131
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep11000.pth,random,3.3850798890349587,7.24531751232537,0.559,0.49650679753654936,133.512,94.86767550646532
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep11000.pth,weak,6.410397760118989,5.462704052882906,0.754,0.43067853440820564,138.11,79.3367878099435
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep11000.pth,strong,-2.8680525041519305,9.487721950274812,0.368,0.48226133993924913,127.199,82.96468766288463
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep12000.pth,random,4.416860983740133,6.590727262216126,0.601,0.4896927608204965,124.001,98.67414554481839
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep12000.pth,weak,6.934917576177793,4.608176653178704,0.759,0.4276903085177405,125.361,87.07354752736333
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep12000.pth,strong,-1.9904208905343308,9.50668768943854,0.399,0.4896927608204965,128.646,87.236567355668
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep13000.pth,random,4.346758919803877,6.634647038258487,0.605,0.4888506929523574,124.722,97.63715847975094
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep13000.pth,weak,8.100044040840926,3.9271773050389367,0.891,0.3116392144772541,106.874,68.99281211836491
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep13000.pth,strong,0.150479155294242,10.083074468817868,0.549,0.49759320734913576,98.626,77.30522701603043
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep14000.pth,random,3.678453172821576,7.184873574669583,0.571,0.49493332884339086,126.072,97.58622247018275
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep14000.pth,weak,8.470080055841745,3.4958329306601783,0.916,0.2773878151613729,86.824,66.44836359158892
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep14000.pth,strong,0.0765484573401893,10.153993235995646,0.562,0.496141108959941,101.429,73.66744843552001
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep15000.pth,random,5.114091849622773,6.180550083776983,0.643,0.47911480878803986,116.638,99.08056800402387
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep15000.pth,weak,8.42109268612558,4.5293941574552745,0.944,0.22992172581119863,63.262,42.933336185300114
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep15000.pth,strong,4.326024642622049,8.39119604692074,0.755,0.43008720046055776,88.06,68.49600280308333
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep16000.pth,random,4.925490943911552,6.3985804251592455,0.633,0.48198651433416684,116.249,99.95652554485875
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep16000.pth,weak,9.302440111002445,1.9162598648179119,0.984,0.125475097130865,61.251,36.33821678343614
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep16000.pth,strong,3.955167282431481,8.859692018443637,0.754,0.43067853440820564,78.674,61.47758716800782
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep17000.pth,random,5.274413310840264,5.923714505692017,0.637,0.48086484587667666,114.693,102.95823789770299
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep17000.pth,weak,9.336408326268488,1.713670429731976,0.984,0.125475097130865,53.897,33.89938629237999
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep17000.pth,strong,4.220777954340912,8.748657161681706,0.767,0.42274223824926693,72.271,58.34882654347043
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep18000.pth,random,5.57672082726568,5.565920137095525,0.651,0.4766539625346673,115.285,102.74429315052004
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep18000.pth,weak,9.299642172546834,2.157982690085576,0.983,0.12927103310486848,49.432,31.177546022738863
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep18000.pth,strong,4.196750077670849,8.725023836368985,0.758,0.4282942913464993,75.41,61.554722808246
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep19000.pth,random,5.616057214343227,5.777529697549594,0.662,0.47302854036516656,112.577,102.05820922885135
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep19000.pth,weak,9.052977251675733,3.05928890266757,0.973,0.16208331191088118,46.97,28.145498752020718
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep19000.pth,strong,5.992184959535924,7.387320799641998,0.841,0.3656760861746363,72.204,60.33932700983662
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep20000.pth,random,5.816071356266181,5.4238911444070075,0.668,0.47093099282166595,112.316,102.03965966230975
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep20000.pth,weak,8.451619873256398,4.448430979287307,0.943,0.23184261903282585,51.304,35.96878624585489
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep20000.pth,strong,5.714989197906113,7.69201597489662,0.836,0.3702755730533679,68.471,55.90280099422568
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep21000.pth,random,5.771983431022138,5.35067538729794,0.659,0.47404535647973606,113.664,103.6488644607359
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep21000.pth,weak,9.510258705868203,1.26426675858391,0.995,0.07053367989832943,43.027,21.338844181445257
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep21000.pth,strong,5.959675267150137,7.480868452165478,0.848,0.35902089075707005,70.154,57.533366701419446
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep22000.pth,random,5.735411791494454,5.599377964493523,0.668,0.4709309928216659,111.272,102.54603851929143
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep22000.pth,weak,9.144294669550465,3.0133139448206103,0.978,0.14668333238647124,43.836,19.78047279515836
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep22000.pth,strong,5.341527110441565,7.985520805941076,0.821,0.3833523183704515,72.915,59.80952913207058
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep23000.pth,random,5.804647643353064,5.5219299065057905,0.672,0.46948482403587877,113.636,102.71876899573904
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep23000.pth,weak,9.441508848355243,1.685379869119341,0.989,0.10430244484191156,41.483,23.214515092932697
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep23000.pth,strong,6.653607521686668,6.786007324262113,0.876,0.3295815528818322,62.535,50.98551534504677
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep24000.pth,random,5.246451673583179,6.112889630557659,0.637,0.48086484587667666,113.058,103.6335111631368
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep24000.pth,weak,9.46344732228043,1.6369034903879243,0.99,0.09949874371066199,42.436,26.165204069527146
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep24000.pth,strong,6.202030373374722,7.356543897684568,0.854,0.3531062163145815,58.998,45.76422178951587
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep25000.pth,random,5.839964317112225,5.371715725713248,0.664,0.47233886141201636,113.502,103.69376064161237
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep25000.pth,weak,9.08724576044944,3.2806460880606387,0.976,0.15304901175767194,40.48,17.419517788963045
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep25000.pth,strong,7.002951296910747,6.385453527877113,0.889,0.3141321378019129,61.937,52.65317683673037
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep26000.pth,random,6.011942117627313,5.305278845971759,0.685,0.4645158770160606,111.076,101.70175133201984
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep26000.pth,weak,9.205280451081999,2.933223492699714,0.979,0.14338409953687334,39.876,18.97384051793416
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep26000.pth,strong,5.31267532039244,8.02859844215977,0.808,0.3938730760029175,64.525,56.465931100089016
