episodes,rewards,reward_std,lengths,overall_win_rate,random_wr,weak_wr,strong_wr,self_wr,q_losses,actor_losses
4600.0,7.676,12.681,154.26,0.44,0.558,0.439,0.0,0.429,0.3481161253150059,0.4497700513684176
4650.0,8.005,12.199,141.5,0.52,0.56,0.436,0.0,0.428,0.34722135450835123,0.4470140872960872
4700.0,6.612,14.452,151.1,0.5,0.561,0.436,0.0,0.42,0.3508192120004503,0.44360174090092047
4750.0,3.706,15.494,150.64,0.48,0.562,0.435,0.0,0.415,0.3475584779573372,0.44320012616376225
4800.0,5.939,13.57,141.38,0.5,0.562,0.434,0.0,0.414,0.34805815230988224,0.44560366567574644
4850.0,6.473,14.956,166.0,0.42,0.563,0.431,0.0,0.412,0.35273287689050214,0.4499966923303295
4900.0,6.124,15.14,166.58,0.34,0.564,0.427,0.0,0.406,0.3514653020387515,0.4411186985659802
4950.0,6.447,14.96,155.76,0.4,0.564,0.424,0.0,0.4,0.3572646942072861,0.4314544042135867
5000.0,1.881,13.789,145.74,0.38,0.564,0.423,0.0,0.39,0.35083607305339315,0.4251722718192632
5050.0,7.318,12.029,135.46,0.5,0.566,0.42,0.0,0.387,0.3500227918880621,0.43169335013629884
5100.0,6.954,13.005,162.0,0.44,0.568,0.417,0.0,0.384,0.34690440586056487,0.43172889190411634
5150.0,5.937,14.819,174.14,0.42,0.568,0.415,0.0,0.379,0.34925863935198187,0.42750112861910494
5200.0,4.082,14.339,147.9,0.44,0.57,0.413,0.0,0.372,0.35209411365566257,0.42838977429618547
5250.0,7.014,13.7,149.32,0.46,0.571,0.411,0.0,0.368,0.358749839118364,0.42749293687096857
5300.0,8.887,12.228,145.06,0.5,0.572,0.41,0.0,0.365,0.34641745448881217,0.4267734022363997
5350.0,5.49,15.248,166.98,0.46,0.572,0.411,0.0,0.359,0.3491717654837869,0.4231438907053756
5400.0,8.303,15.177,172.56,0.4,0.571,0.41,0.0,0.357,0.34322908971623906,0.4131725001781382
5450.0,8.624,14.211,160.76,0.48,0.572,0.409,0.0,0.352,0.3423150136466857,0.4128818881327943
5500.0,5.897,15.179,155.82,0.44,0.572,0.409,0.0,0.35,0.34535202450087027,0.4082095202324562
5550.0,5.861,15.12,143.22,0.56,0.573,0.41,0.0,0.347,0.3455468853897514,0.4080733305423955
5600.0,4.536,14.731,159.48,0.36,0.573,0.408,0.0,0.343,0.34709172380649284,0.40866638514259845
5650.0,4.225,16.083,147.3,0.52,0.574,0.407,0.0,0.34,0.34145556952770345,0.40286083893979935
5700.0,5.616,15.967,158.58,0.48,0.573,0.408,0.0,0.339,0.348028628171409,0.407245079201323
5750.0,4.048,15.516,148.92,0.4,0.573,0.406,0.0,0.337,0.34738647570284553,0.40950103151925743
5800.0,9.629,13.674,149.52,0.52,0.574,0.405,0.0,0.336,0.34765350352240343,0.4058101986443783
5850.0,10.043,13.06,155.92,0.52,0.574,0.406,0.0,0.336,0.35359753415424444,0.4013870147160293
5900.0,6.2,15.297,153.88,0.48,0.574,0.406,0.0,0.332,0.34810344582835473,0.3915889699172584
5950.0,5.008,15.775,152.38,0.42,0.574,0.407,0.0,0.326,0.35348622244731476,0.39486232406502814
6000.0,13.191,11.571,168.84,0.44,0.576,0.405,0.0,0.323,0.3463200472925736,0.39342580930561005
6050.0,6.274,14.345,156.82,0.48,0.576,0.404,0.0,0.321,0.34273525639154434,0.3857904652138857
6100.0,5.905,14.523,143.96,0.48,0.576,0.404,0.0,0.318,0.34623492509126663,0.3878110575062856
6150.0,10.704,13.677,159.16,0.48,0.577,0.404,0.0,0.315,0.34875938395690376,0.38769698472996483
6200.0,9.329,13.588,145.1,0.5,0.578,0.403,0.0,0.31,0.33968912057294975,0.3938435174714623
6250.0,6.742,15.815,163.74,0.42,0.578,0.402,0.0,0.309,0.34348125473606994,0.3968092431040371
6300.0,12.518,12.017,167.52,0.52,0.579,0.402,0.0,0.306,0.34003777606292657,0.38525988747016854
6350.0,11.19,12.06,153.1,0.48,0.581,0.401,0.0,0.301,0.3351331728622763,0.3848313362334426
6400.0,9.027,15.022,161.14,0.52,0.582,0.402,0.0,0.299,0.3355469399885623,0.38429081107637125
6450.0,11.069,12.291,152.0,0.62,0.583,0.402,0.0,0.3,0.34493241906541067,0.39707943961169595
6500.0,10.524,10.698,134.72,0.58,0.585,0.402,0.0,0.297,0.346106930085982,0.39993655518020765
6550.0,11.775,13.595,159.3,0.42,0.585,0.401,0.0,0.295,0.33953628556397997,0.40072158391969165
6600.0,7.212,16.211,159.44,0.46,0.585,0.401,0.0,0.292,0.33864579851070864,0.39990037470146633
6650.0,12.787,11.662,158.5,0.48,0.587,0.4,0.0,0.29,0.3365224709780609,0.4105155553344137
6700.0,7.634,16.955,159.6,0.5,0.586,0.4,0.0,0.289,0.33380299787610984,0.4114583137182366
6750.0,12.117,12.886,156.78,0.44,0.588,0.399,0.0,0.284,0.3342279810933018,0.41660173059672295
6800.0,8.19,15.432,164.06,0.5,0.588,0.399,0.0,0.283,0.343581662728056,0.41402521742593945
6850.0,8.678,13.436,145.02,0.54,0.589,0.398,0.0,0.282,0.33420558994241617,0.41790724534233176
6900.0,12.018,14.16,159.08,0.52,0.59,0.399,0.0,0.278,0.33724739548778637,0.4247345423625302
6950.0,9.076,14.135,157.32,0.42,0.59,0.398,0.0,0.276,0.3337422683811593,0.4214263151804956
7000.0,8.867,15.557,155.1,0.4,0.59,0.399,0.0,0.269,0.3373359863597404,0.4145094808841434
7050.0,7.218,16.195,164.98,0.4,0.589,0.398,0.0,0.27,0.3321334536147215,0.42477700927275164
7100.0,11.023,14.136,157.76,0.44,0.59,0.396,0.0,0.266,0.33765031191332606,0.41424730774243695
7150.0,8.931,14.135,155.58,0.48,0.591,0.395,0.0,0.265,0.3301217716987608,0.40699014714976156
7200.0,8.001,14.117,142.98,0.44,0.592,0.393,0.0,0.265,0.3294694090637631,0.4096292818246978
7250.0,8.21,14.16,128.16,0.6,0.593,0.394,0.0,0.263,0.3269779564365721,0.40972135277167926
7300.0,11.71,11.325,152.22,0.52,0.594,0.394,0.0,0.261,0.32966896737613705,0.4109806741847674
7350.0,7.73,15.923,153.58,0.48,0.594,0.394,0.0,0.258,0.33076358333431577,0.4049573324693378
7400.0,9.625,14.846,145.46,0.48,0.595,0.394,0.0,0.255,0.32413130772211296,0.40247776084873954
